@relation NewRelation
@attribute ano numeric
@attribute dia_semana {domingo,quarta-feira,quinta-feira,segunda-feira,sexta-feira,sábado,terça-feira}
@attribute uf {PB,PE,RN}
@attribute br numeric
@attribute municipio {'JOAO PESSOA',NATAL,RECIFE}
@attribute classificacao {'Com Vítimas Fatais','Com Vítimas Feridas','Sem Vítimas'}
@attribute fase_dia {Amanhecer,Anoitecer,'Plena Noite','Pleno dia'}
@attribute tempo {Chuva,'Céu Claro',Garoa/Chuvisco,Nublado,Sol}
@attribute tipo_pista {Dupla,Múltipla,Simples}
@attribute tracado {Curva,'Desvio Temporário','Interseção de vias','Não Informado',Ponte,Reta,Rotatória,Viaduto}
@attribute total_pessoas numeric
@attribute mortos numeric
@attribute feridos numeric
@attribute Risco {Alto,Baixo,Medio,'Muito Alto',Nulo}
@data
2018,segunda-feira,PE,232,RECIFE,'Com Vítimas Fatais','Plena Noite','Céu Claro',Dupla,Reta,3,1,0,Medio
2018,terça-feira,PE,101,RECIFE,'Com Vítimas Fatais',Amanhecer,'Céu Claro',Dupla,'Interseção de vias',6,1,1,Medio
2018,quarta-feira,PB,101,'JOAO PESSOA','Com Vítimas Fatais','Pleno dia',Chuva,Dupla,'Não Informado',4,2,0,Alto
2018,sexta-feira,RN,101,NATAL,'Com Vítimas Fatais',Amanhecer,Chuva,Simples,Reta,1,1,0,'Muito Alto'
2018,quinta-feira,PE,101,RECIFE,'Com Vítimas Fatais','Plena Noite',Chuva,Dupla,Reta,1,1,0,'Muito Alto'
2018,terça-feira,RN,101,NATAL,'Com Vítimas Fatais','Plena Noite','Céu Claro',Múltipla,Reta,2,1,0,Alto
2018,quarta-feira,PE,101,RECIFE,'Com Vítimas Fatais','Pleno dia','Céu Claro',Simples,'Não Informado',2,1,0,Alto
2018,quarta-feira,PE,232,RECIFE,'Com Vítimas Fatais','Plena Noite',Nublado,Dupla,Reta,2,1,0,Alto
2018,sábado,RN,101,NATAL,'Com Vítimas Fatais','Plena Noite',Garoa/Chuvisco,Dupla,Reta,4,1,2,Alto
2018,domingo,PE,101,RECIFE,'Com Vítimas Fatais','Pleno dia','Céu Claro',Dupla,Reta,2,1,0,'Muito Alto'
2018,quarta-feira,RN,101,NATAL,'Com Vítimas Fatais','Pleno dia',Sol,Múltipla,Curva,5,1,1,Alto
2018,domingo,PE,101,RECIFE,'Com Vítimas Fatais','Plena Noite',Nublado,Dupla,Reta,3,1,1,Alto
2018,domingo,RN,226,NATAL,'Com Vítimas Fatais',Amanhecer,'Céu Claro',Simples,Reta,1,1,0,'Muito Alto'
2018,domingo,PB,230,'JOAO PESSOA','Com Vítimas Fatais','Pleno dia',Sol,Múltipla,Reta,3,1,2,'Muito Alto'
